Method;Text size;Alphabet size;Pattern size;Wildcards;Time
KMP_O;10000;4;1400;4;287501
Native;100000;2;1400;0;2709822
KMP;100000;2;1400;0;2019181
KMP_O;100000;2;1400;0;2398308
Native;100000;2;1400;1;2615359
KMP;100000;2;1400;1;2094086
KMP_O;100000;2;1400;1;2381007
Native;100000;2;1400;2;2579171
KMP;100000;2;1400;2;2014315
KMP_O;100000;2;1400;2;2219163
Native;100000;2;1400;3;2587967
KMP;100000;2;1400;3;2027815
KMP_O;100000;2;1400;3;2386491
Native;100000;2;1400;4;2574941
KMP;100000;2;1400;4;2111580
KMP_O;100000;2;1400;4;2252516
Native;100000;4;1400;0;2575713
KMP;100000;4;1400;0;2137482
KMP_O;100000;4;1400;0;2245198
Native;100000;4;1400;1;2703344
KMP;100000;4;1400;1;2008655
KMP_O;100000;4;1400;1;2219726
Native;100000;4;1400;2;2640890
KMP;100000;4;1400;2;2159519
KMP_O;100000;4;1400;2;2193388
Native;100000;4;1400;3;2602879
KMP;100000;4;1400;3;2032275
KMP_O;100000;4;1400;3;2646385
Native;100000;4;1400;4;2587504
KMP;100000;4;1400;4;2077838
KMP_O;100000;4;1400;4;2277694
Native;10000;2;1500;0;235642
KMP;10000;2;1500;0;224788
KMP_O;10000;2;1500;0;258197
Native;10000;2;1500;1;236240
KMP;10000;2;1500;1;226074
KMP_O;10000;2;1500;1;257502
Native;10000;2;1500;2;235747
KMP;10000;2;1500;2;229208
KMP_O;10000;2;1500;2;291448
Native;10000;2;1500;3;235940
KMP;10000;2;1500;3;264255
KMP_O;10000;2;1500;3;290632
Native;10000;2;1500;4;238127
KMP;10000;2;1500;4;229380
KMP_O;10000;2;1500;4;291054
Native;10000;4;1500;0;235551
KMP;10000;4;1500;0;227053
KMP_O;10000;4;1500;0;250461
Native;10000;4;1500;1;237112
KMP;10000;4;1500;1;227074
KMP_O;10000;4;1500;1;251325
Native;10000;4;1500;2;235989
KMP;10000;4;1500;2;227554
KMP_O;10000;4;1500;2;250763
Native;10000;4;1500;3;236567
KMP;10000;4;1500;3;227400
KMP_O;10000;4;1500;3;262628
Native;10000;4;1500;4;236114
KMP;10000;4;1500;4;235239
KMP_O;10000;4;1500;4;254500
Native;100000;2;1500;0;2577690
KMP;100000;2;1500;0;2082006
KMP_O;100000;2;1500;0;2590760
Native;100000;2;1500;1;2583349
KMP;100000;2;1500;1;2119679
KMP_O;100000;2;1500;1;2290128
Native;100000;2;1500;2;2691772
KMP;100000;2;1500;2;2101468
KMP_O;100000;2;1500;2;2349629
Native;100000;2;1500;3;2590791
KMP;100000;2;1500;3;2105759
KMP_O;100000;2;1500;3;2628848
Native;100000;2;1500;4;2571748
KMP;100000;2;1500;4;2164118
KMP_O;100000;2;1500;4;2277489
Native;100000;4;1500;0;2602619
KMP;100000;4;1500;0;2010159
KMP_O;100000;4;1500;0;2387270
Native;100000;4;1500;1;2593663
KMP;100000;4;1500;1;2018914
KMP_O;100000;4;1500;1;2203883
Native;100000;4;1500;2;2593477
KMP;100000;4;1500;2;2073437
KMP_O;100000;4;1500;2;2083040
Native;100000;4;1500;3;2657994
KMP;100000;4;1500;3;2096338
KMP_O;100000;4;1500;3;3320445
Native;100000;4;1500;4;2619340
KMP;100000;4;1500;4;2108441
KMP_O;100000;4;1500;4;2304013
Native;10000;2;1600;0;234105
KMP;10000;2;1600;0;234745
KMP_O;10000;2;1600;0;265586
Native;10000;2;1600;1;234317
KMP;10000;2;1600;1;232011
KMP_O;10000;2;1600;1;266329
Native;10000;2;1600;2;233933
KMP;10000;2;1600;2;231508
KMP_O;10000;2;1600;2;266518
Native;10000;2;1600;3;234128
KMP;10000;2;1600;3;233256
KMP_O;10000;2;1600;3;266833
Native;10000;2;1600;4;234087
KMP;10000;2;1600;4;234504
KMP_O;10000;2;1600;4;265930
Native;10000;4;1600;0;239147
KMP;10000;4;1600;0;263347
KMP_O;10000;4;1600;0;288181
Native;10000;4;1600;1;236497
KMP;10000;4;1600;1;226066
KMP_O;10000;4;1600;1;287687
Native;10000;4;1600;2;236183
KMP;10000;4;1600;2;229955
KMP_O;10000;4;1600;2;256718
Native;10000;4;1600;3;236862
KMP;10000;4;1600;3;230490
KMP_O;10000;4;1600;3;258325
Native;10000;4;1600;4;237432
KMP;10000;4;1600;4;230079
KMP_O;10000;4;1600;4;256935
Native;100000;2;1600;0;2572012
KMP;100000;2;1600;0;2109375
KMP_O;100000;2;1600;0;2284501
Native;100000;2;1600;1;2580772
KMP;100000;2;1600;1;2096581
KMP_O;100000;2;1600;1;2638983
Native;100000;2;1600;2;2585588
KMP;100000;2;1600;2;2102422
KMP_O;100000;2;1600;2;2312080
Native;100000;2;1600;3;2572951
KMP;100000;2;1600;3;2123500
KMP_O;100000;2;1600;3;2342986
Native;100000;2;1600;4;2596695
KMP;100000;2;1600;4;2114685
KMP_O;100000;2;1600;4;2329745
Native;100000;4;1600;0;2564004
KMP;100000;4;1600;0;2074815
KMP_O;100000;4;1600;0;2272830
Native;100000;4;1600;1;2591348
KMP;100000;4;1600;1;2063149
KMP_O;100000;4;1600;1;2214807
Native;100000;4;1600;2;2576725
KMP;100000;4;1600;2;2098296
KMP_O;100000;4;1600;2;2370043
Native;100000;4;1600;3;2659211
KMP;100000;4;1600;3;2029916
KMP_O;100000;4;1600;3;2229061
Native;100000;4;1600;4;2585627
KMP;100000;4;1600;4;2074623
KMP_O;100000;4;1600;4;2226734
Native;10000;2;1700;0;235024
KMP;10000;2;1700;0;231907
KMP_O;10000;2;1700;0;275039
Native;10000;2;1700;1;236886
KMP;10000;2;1700;1;232275
KMP_O;10000;2;1700;1;274573
Native;10000;2;1700;2;229512
KMP;10000;2;1700;2;228120
KMP_O;10000;2;1700;2;274151
Native;10000;2;1700;3;229994
KMP;10000;2;1700;3;227372
KMP_O;10000;2;1700;3;274153
Native;10000;2;1700;4;230599
KMP;10000;2;1700;4;234557
KMP_O;10000;2;1700;4;274116
Native;10000;4;1700;0;236172
KMP;10000;4;1700;0;228976
KMP_O;10000;4;1700;0;247606
Native;10000;4;1700;1;233114
KMP;10000;4;1700;1;227881
KMP_O;10000;4;1700;1;247402
Native;10000;4;1700;2;232965
KMP;10000;4;1700;2;228337
KMP_O;10000;4;1700;2;246838
Native;10000;4;1700;3;249628
KMP;10000;4;1700;3;257769
KMP_O;10000;4;1700;3;247101
Native;10000;4;1700;4;232968
KMP;10000;4;1700;4;227683
KMP_O;10000;4;1700;4;247508
Native;100000;2;1700;0;2595792
KMP;100000;2;1700;0;2039953
KMP_O;100000;2;1700;0;2212603
Native;100000;2;1700;1;2561572
KMP;100000;2;1700;1;2099267
KMP_O;100000;2;1700;1;2310030
Native;100000;2;1700;2;2626792
KMP;100000;2;1700;2;2126661
KMP_O;100000;2;1700;2;2239020
Native;100000;2;1700;3;2563195
KMP;100000;2;1700;3;2085836
KMP_O;100000;2;1700;3;2218872
Native;100000;2;1700;4;2595799
KMP;100000;2;1700;4;2224227
KMP_O;100000;2;1700;4;2370003
Native;100000;4;1700;0;2571397
KMP;100000;4;1700;0;2080892
KMP_O;100000;4;1700;0;2337838
Native;100000;4;1700;1;2593038
KMP;100000;4;1700;1;2091258
KMP_O;100000;4;1700;1;2324788
Native;100000;4;1700;2;2587285
KMP;100000;4;1700;2;2133716
KMP_O;100000;4;1700;2;2173881
Native;100000;4;1700;3;2563123
KMP;100000;4;1700;3;2065249
KMP_O;100000;4;1700;3;2250874
Native;100000;4;1700;4;2612870
KMP;100000;4;1700;4;2028599
KMP_O;100000;4;1700;4;2102777
Native;10000;2;1800;0;229766
KMP;10000;2;1800;0;229465
KMP_O;10000;2;1800;0;258954
Native;10000;2;1800;1;235863
KMP;10000;2;1800;1;229412
KMP_O;10000;2;1800;1;258428
Native;10000;2;1800;2;244414
KMP;10000;2;1800;2;231427
KMP_O;10000;2;1800;2;257967
Native;10000;2;1800;3;229758
KMP;10000;2;1800;3;228477
KMP_O;10000;2;1800;3;257619
Native;10000;2;1800;4;229791
KMP;10000;2;1800;4;229166
KMP_O;10000;2;1800;4;256023
Native;10000;4;1800;0;229676
KMP;10000;4;1800;0;231854
KMP_O;10000;4;1800;0;269251
Native;10000;4;1800;1;229651
KMP;10000;4;1800;1;232633
KMP_O;10000;4;1800;1;267509
Native;10000;4;1800;2;229864
KMP;10000;4;1800;2;232562
KMP_O;10000;4;1800;2;279142
Native;10000;4;1800;3;229574
KMP;10000;4;1800;3;232407
KMP_O;10000;4;1800;3;267635
Native;10000;4;1800;4;251201
KMP;10000;4;1800;4;237549
KMP_O;10000;4;1800;4;294415
Native;100000;2;1800;0;2571406
KMP;100000;2;1800;0;2101002
KMP_O;100000;2;1800;0;3023531
Native;100000;2;1800;1;2622110
KMP;100000;2;1800;1;2080850
KMP_O;100000;2;1800;1;2297324
Native;100000;2;1800;2;2595992
KMP;100000;2;1800;2;2095060
KMP_O;100000;2;1800;2;2200371
Native;100000;2;1800;3;2630688
KMP;100000;2;1800;3;2241594
KMP_O;100000;2;1800;3;2230537
Native;100000;2;1800;4;2791702
KMP;100000;2;1800;4;2073049
KMP_O;100000;2;1800;4;2493013
Native;100000;4;1800;0;2607151
KMP;100000;4;1800;0;2099662
KMP_O;100000;4;1800;0;2611268
Native;100000;4;1800;1;2609020
KMP;100000;4;1800;1;2094593
KMP_O;100000;4;1800;1;2257274
Native;100000;4;1800;2;2575917
KMP;100000;4;1800;2;2087269
KMP_O;100000;4;1800;2;2401096
Native;100000;4;1800;3;2583342
KMP;100000;4;1800;3;2022584
KMP_O;100000;4;1800;3;2151116
Native;100000;4;1800;4;2590782
KMP;100000;4;1800;4;1999380
KMP_O;100000;4;1800;4;2118351
Native;10000;2;1900;0;230326
KMP;10000;2;1900;0;230589
KMP_O;10000;2;1900;0;268153
Native;10000;2;1900;1;239793
KMP;10000;2;1900;1;237513
KMP_O;10000;2;1900;1;271646
Native;10000;2;1900;2;229455
KMP;10000;2;1900;2;277019
KMP_O;10000;2;1900;2;267329
Native;10000;2;1900;3;227426
KMP;10000;2;1900;3;229877
KMP_O;10000;2;1900;3;285205
Native;10000;2;1900;4;227604
KMP;10000;2;1900;4;229958
KMP_O;10000;2;1900;4;280576
Native;10000;4;1900;0;232312
KMP;10000;4;1900;0;230190
KMP_O;10000;4;1900;0;266173
Native;10000;4;1900;1;231291
KMP;10000;4;1900;1;229919
KMP_O;10000;4;1900;1;266315
Native;10000;4;1900;2;230894
KMP;10000;4;1900;2;230124
KMP_O;10000;4;1900;2;265891
Native;10000;4;1900;3;230843
KMP;10000;4;1900;3;241216
KMP_O;10000;4;1900;3;308984
Native;10000;4;1900;4;230855
KMP;10000;4;1900;4;230515
KMP_O;10000;4;1900;4;265347
Native;100000;2;1900;0;2634051
KMP;100000;2;1900;0;2028654
KMP_O;100000;2;1900;0;2447089
Native;100000;2;1900;1;2574100
KMP;100000;2;1900;1;2100176
KMP_O;100000;2;1900;1;2325761
Native;100000;2;1900;2;2596138
KMP;100000;2;1900;2;2027008
KMP_O;100000;2;1900;2;2307517
Native;100000;2;1900;3;2557601
KMP;100000;2;1900;3;2165940
KMP_O;100000;2;1900;3;2239364
Native;100000;2;1900;4;2575654
KMP;100000;2;1900;4;2115372
KMP_O;100000;2;1900;4;2314388
Native;100000;4;1900;0;2660410
KMP;100000;4;1900;0;2037264
KMP_O;100000;4;1900;0;2292856
Native;100000;4;1900;1;2594252
KMP;100000;4;1900;1;2033053
KMP_O;100000;4;1900;1;2308138
Native;100000;4;1900;2;2572769
KMP;100000;4;1900;2;2142414
KMP_O;100000;4;1900;2;2314014
Native;100000;4;1900;3;2579295
KMP;100000;4;1900;3;2063108
KMP_O;100000;4;1900;3;2282907
Native;100000;4;1900;4;2573512
KMP;100000;4;1900;4;2177969
KMP_O;100000;4;1900;4;2256490
Native;10000;2;2000;0;228073
KMP;10000;2;2000;0;242047
KMP_O;10000;2;2000;0;283886
Native;10000;2;2000;1;229983
KMP;10000;2;2000;1;238402
KMP_O;10000;2;2000;1;280269
Native;10000;2;2000;2;227249
KMP;10000;2;2000;2;237860
KMP_O;10000;2;2000;2;280371
Native;10000;2;2000;3;227476
KMP;10000;2;2000;3;237545
KMP_O;10000;2;2000;3;280191
Native;10000;2;2000;4;227122
KMP;10000;2;2000;4;238017
KMP_O;10000;2;2000;4;281055
Native;10000;4;2000;0;224863
KMP;10000;4;2000;0;235323
KMP_O;10000;4;2000;0;289045
Native;10000;4;2000;1;226877
KMP;10000;4;2000;1;235723
KMP_O;10000;4;2000;1;289995
Native;10000;4;2000;2;227214
KMP;10000;4;2000;2;244904
KMP_O;10000;4;2000;2;290631
Native;10000;4;2000;3;225842
KMP;10000;4;2000;3;236768
KMP_O;10000;4;2000;3;290036
Native;10000;4;2000;4;229461
KMP;10000;4;2000;4;235720
KMP_O;10000;4;2000;4;269190
Native;100000;2;2000;0;2571339
KMP;100000;2;2000;0;2127020
KMP_O;100000;2;2000;0;2386899
Native;100000;2;2000;1;2581307
KMP;100000;2;2000;1;2043181
KMP_O;100000;2;2000;1;2158844
Native;100000;2;2000;2;2593439
KMP;100000;2;2000;2;2043054
KMP_O;100000;2;2000;2;2165404
Native;100000;2;2000;3;2611387
KMP;100000;2;2000;3;2100998
KMP_O;100000;2;2000;3;2266526
Native;100000;2;2000;4;2565921
KMP;100000;2;2000;4;2094251
KMP_O;100000;2;2000;4;2272901
Native;100000;4;2000;0;2572813
KMP;100000;4;2000;0;2061155
KMP_O;100000;4;2000;0;2260524
Native;100000;4;2000;1;2621798
KMP;100000;4;2000;1;2085066
KMP_O;100000;4;2000;1;2432980
Native;100000;4;2000;2;2567263
KMP;100000;4;2000;2;2126670
KMP_O;100000;4;2000;2;2357991
Native;100000;4;2000;3;2560613
KMP;100000;4;2000;3;2116449
KMP_O;100000;4;2000;3;2660834
Native;100000;4;2000;4;2590003
KMP;100000;4;2000;4;2100446
KMP_O;100000;4;2000;4;2667708
Native;10000;2;2100;0;224780
KMP;10000;2;2100;0;236042
KMP_O;10000;2;2100;0;294128
Native;10000;2;2100;1;225298
KMP;10000;2;2100;1;237291
KMP_O;10000;2;2100;1;293340
Native;10000;2;2100;2;224587
KMP;10000;2;2100;2;236297
KMP_O;10000;2;2100;2;293199
Native;10000;2;2100;3;227880
KMP;10000;2;2100;3;243422
KMP_O;10000;2;2100;3;260123
Native;10000;2;2100;4;226624
KMP;10000;2;2100;4;236347
KMP_O;10000;2;2100;4;259776
Native;10000;4;2100;0;227465
KMP;10000;4;2100;0;233922
KMP_O;10000;4;2100;0;264350
Native;10000;4;2100;1;226933
KMP;10000;4;2100;1;234266
KMP_O;10000;4;2100;1;263544
Native;10000;4;2100;2;227610
KMP;10000;4;2100;2;234344
KMP_O;10000;4;2100;2;269228
Native;10000;4;2100;3;227484
KMP;10000;4;2100;3;235217
KMP_O;10000;4;2100;3;263940
Native;10000;4;2100;4;226530
KMP;10000;4;2100;4;233778
KMP_O;10000;4;2100;4;262545
Native;100000;2;2100;0;2600043
KMP;100000;2;2100;0;2046106
KMP_O;100000;2;2100;0;2110732
Native;100000;2;2100;1;2589533
KMP;100000;2;2100;1;2122591
KMP_O;100000;2;2100;1;2298598
Native;100000;2;2100;2;2594143
KMP;100000;2;2100;2;2037438
KMP_O;100000;2;2100;2;2129233
Native;100000;2;2100;3;2579636
KMP;100000;2;2100;3;2030425
KMP_O;100000;2;2100;3;2162666
Native;100000;2;2100;4;2585260
KMP;100000;2;2100;4;2105110
KMP_O;100000;2;2100;4;2206413
Native;100000;4;2100;0;2599631
KMP;100000;4;2100;0;2031954
KMP_O;100000;4;2100;0;2138592
Native;100000;4;2100;1;2619335
KMP;100000;4;2100;1;2119457
KMP_O;100000;4;2100;1;2321168
Native;100000;4;2100;2;2586394
KMP;100000;4;2100;2;1999673
KMP_O;100000;4;2100;2;2950574
Native;100000;4;2100;3;2619514
KMP;100000;4;2100;3;2093640
KMP_O;100000;4;2100;3;2348226
Native;100000;4;2100;4;2829586
KMP;100000;4;2100;4;2396793
KMP_O;100000;4;2100;4;2435723
Native;10000;2;2200;0;221939
KMP;10000;2;2200;0;240760
KMP_O;10000;2;2200;0;298405
Native;10000;2;2200;1;222167
KMP;10000;2;2200;1;240842
KMP_O;10000;2;2200;1;298781
Native;10000;2;2200;2;221381
KMP;10000;2;2200;2;241115
KMP_O;10000;2;2200;2;297864
Native;10000;2;2200;3;221890
KMP;10000;2;2200;3;245791
KMP_O;10000;2;2200;3;298687
Native;10000;2;2200;4;221633
KMP;10000;2;2200;4;240230
KMP_O;10000;2;2200;4;307400
Native;10000;4;2200;0;223377
KMP;10000;4;2200;0;247520
KMP_O;10000;4;2200;0;309049
Native;10000;4;2200;1;220453
KMP;10000;4;2200;1;240555
KMP_O;10000;4;2200;1;302763
Native;10000;4;2200;2;221339
KMP;10000;4;2200;2;240204
KMP_O;10000;4;2200;2;304442
Native;10000;4;2200;3;220999
KMP;10000;4;2200;3;240703
KMP_O;10000;4;2200;3;303685
Native;10000;4;2200;4;225858
KMP;10000;4;2200;4;242635
KMP_O;10000;4;2200;4;261984
Native;100000;2;2200;0;2554545
KMP;100000;2;2200;0;2144716
KMP_O;100000;2;2200;0;2292248
Native;100000;2;2200;1;2573343
KMP;100000;2;2200;1;2115735
KMP_O;100000;2;2200;1;2342994
Native;100000;2;2200;2;2559665
KMP;100000;2;2200;2;2153575
KMP_O;100000;2;2200;2;2332889
Native;100000;2;2200;3;2566983
KMP;100000;2;2200;3;2085714
KMP_O;100000;2;2200;3;2401274
Native;100000;2;2200;4;2569695
KMP;100000;2;2200;4;2090900
KMP_O;100000;2;2200;4;2344628
Native;100000;4;2200;0;2577514
KMP;100000;4;2200;0;2054519
KMP_O;100000;4;2200;0;2093467
Native;100000;4;2200;1;2650607
KMP;100000;4;2200;1;2044788
KMP_O;100000;4;2200;1;2215822
Native;100000;4;2200;2;2600553
KMP;100000;4;2200;2;2055198
KMP_O;100000;4;2200;2;2450226
Native;100000;4;2200;3;2599446
KMP;100000;4;2200;3;2100563
KMP_O;100000;4;2200;3;2229918
Native;100000;4;2200;4;2594039
KMP;100000;4;2200;4;2127768
KMP_O;100000;4;2200;4;2184367
Native;10000;2;2300;0;225382
KMP;10000;2;2300;0;253403
KMP_O;10000;2;2300;0;286473
Native;10000;2;2300;1;220631
KMP;10000;2;2300;1;250896
KMP_O;10000;2;2300;1;288982
Native;10000;2;2300;2;219356
KMP;10000;2;2300;2;243937
KMP_O;10000;2;2300;2;287876
Native;10000;2;2300;3;220863
KMP;10000;2;2300;3;244942
KMP_O;10000;2;2300;3;286006
Native;10000;2;2300;4;220815
KMP;10000;2;2300;4;252899
KMP_O;10000;2;2300;4;290606
Native;10000;4;2300;0;224233
KMP;10000;4;2300;0;249731
KMP_O;10000;4;2300;0;282025
Native;10000;4;2300;1;220375
KMP;10000;4;2300;1;246669
KMP_O;10000;4;2300;1;279991
Native;10000;4;2300;2;221348
KMP;10000;4;2300;2;246369
KMP_O;10000;4;2300;2;280133
Native;10000;4;2300;3;221461
KMP;10000;4;2300;3;249384
KMP_O;10000;4;2300;3;280513
Native;10000;4;2300;4;221632
KMP;10000;4;2300;4;247379
KMP_O;10000;4;2300;4;279695
Native;100000;2;2300;0;2587154
KMP;100000;2;2300;0;2163995
KMP_O;100000;2;2300;0;2188170
Native;100000;2;2300;1;2554308
KMP;100000;2;2300;1;2125833
KMP_O;100000;2;2300;1;2268152
Native;100000;2;2300;2;2618313
KMP;100000;2;2300;2;2035666
KMP_O;100000;2;2300;2;2270317
Native;100000;2;2300;3;2580056
KMP;100000;2;2300;3;2042434
KMP_O;100000;2;2300;3;2941806
Native;100000;2;2300;4;2563530
KMP;100000;2;2300;4;2095610
KMP_O;100000;2;2300;4;2415915
Native;100000;4;2300;0;2605907
KMP;100000;4;2300;0;2066297
KMP_O;100000;4;2300;0;2283803
Native;100000;4;2300;1;2600696
KMP;100000;4;2300;1;2107256
KMP_O;100000;4;2300;1;2331851
Native;100000;4;2300;2;2590841
KMP;100000;4;2300;2;2066221
KMP_O;100000;4;2300;2;2305535
Native;100000;4;2300;3;2579523
KMP;100000;4;2300;3;2049604
KMP_O;100000;4;2300;3;2358590
Native;100000;4;2300;4;2552799
KMP;100000;4;2300;4;2067981
KMP_O;100000;4;2300;4;2281010
Native;10000;2;2400;0;236646
KMP;10000;2;2400;0;240515
KMP_O;10000;2;2400;0;274915
Native;10000;2;2400;1;219707
KMP;10000;2;2400;1;240958
KMP_O;10000;2;2400;1;275976
Native;10000;2;2400;2;219456
KMP;10000;2;2400;2;240132
KMP_O;10000;2;2400;2;276787
Native;10000;2;2400;3;219099
KMP;10000;2;2400;3;239316
KMP_O;10000;2;2400;3;275255
Native;10000;2;2400;4;217964
KMP;10000;2;2400;4;240626
KMP_O;10000;2;2400;4;274897
Native;10000;4;2400;0;220114
KMP;10000;4;2400;0;243334
KMP_O;10000;4;2400;0;316904
Native;10000;4;2400;1;220135
KMP;10000;4;2400;1;244599
KMP_O;10000;4;2400;1;372319
Native;10000;4;2400;2;220051
KMP;10000;4;2400;2;243962
KMP_O;10000;4;2400;2;316902
Native;10000;4;2400;3;222036
KMP;10000;4;2400;3;249115
KMP_O;10000;4;2400;3;318572
Native;10000;4;2400;4;219920
KMP;10000;4;2400;4;249074
KMP_O;10000;4;2400;4;320397
Native;100000;2;2400;0;2551323
KMP;100000;2;2400;0;2095194
KMP_O;100000;2;2400;0;2349922
Native;100000;2;2400;1;2569814
KMP;100000;2;2400;1;2125307
KMP_O;100000;2;2400;1;2320076
Native;100000;2;2400;2;2554782
KMP;100000;2;2400;2;2119501
KMP_O;100000;2;2400;2;2340865
Native;100000;2;2400;3;2556356
KMP;100000;2;2400;3;2138526
KMP_O;100000;2;2400;3;2374116
Native;100000;2;2400;4;2558793
KMP;100000;2;2400;4;2093669
KMP_O;100000;2;2400;4;2403555
Native;100000;4;2400;0;2577755
KMP;100000;4;2400;0;2230050
KMP_O;100000;4;2400;0;2317179
Native;100000;4;2400;1;2595238
KMP;100000;4;2400;1;2047628
KMP_O;100000;4;2400;1;2521738
Native;100000;4;2400;2;2582292
KMP;100000;4;2400;2;2044617
KMP_O;100000;4;2400;2;2751789
Native;100000;4;2400;3;2576741
KMP;100000;4;2400;3;2123045
KMP_O;100000;4;2400;3;2316105
Native;100000;4;2400;4;2562607
KMP;100000;4;2400;4;2125498
KMP_O;100000;4;2400;4;2270661
Native;10000;2;2500;0;220460
KMP;10000;2;2500;0;245590
KMP_O;10000;2;2500;0;295299
Native;10000;2;2500;1;218689
KMP;10000;2;2500;1;246153
KMP_O;10000;2;2500;1;294533
Native;10000;2;2500;2;219323
KMP;10000;2;2500;2;245271
KMP_O;10000;2;2500;2;296721
Native;10000;2;2500;3;218150
KMP;10000;2;2500;3;245994
KMP_O;10000;2;2500;3;295565
Native;10000;2;2500;4;220147
KMP;10000;2;2500;4;247170
KMP_O;10000;2;2500;4;286514
Native;10000;4;2500;0;222939
KMP;10000;4;2500;0;256024
KMP_O;10000;4;2500;0;279889
Native;10000;4;2500;1;221925
KMP;10000;4;2500;1;254667
KMP_O;10000;4;2500;1;278050
Native;10000;4;2500;2;232996
KMP;10000;4;2500;2;257775
KMP_O;10000;4;2500;2;335983
Native;10000;4;2500;3;224500
KMP;10000;4;2500;3;256413
KMP_O;10000;4;2500;3;279858
Native;10000;4;2500;4;223031
KMP;10000;4;2500;4;262739
KMP_O;10000;4;2500;4;278481
Native;100000;2;2500;0;2590820
KMP;100000;2;2500;0;2104624
KMP_O;100000;2;2500;0;2291673
Native;100000;2;2500;1;2575931
KMP;100000;2;2500;1;2042060
KMP_O;100000;2;2500;1;2100264
Native;100000;2;2500;2;2572349
KMP;100000;2;2500;2;2121392
KMP_O;100000;2;2500;2;2354307
Native;100000;2;2500;3;2602199
KMP;100000;2;2500;3;2040266
KMP_O;100000;2;2500;3;2271666
Native;100000;2;2500;4;2549233
KMP;100000;2;2500;4;2149126
KMP_O;100000;2;2500;4;2343604
Native;100000;4;2500;0;2588852
KMP;100000;4;2500;0;2063862
KMP_O;100000;4;2500;0;2345337
Native;100000;4;2500;1;2602203
KMP;100000;4;2500;1;2035274
KMP_O;100000;4;2500;1;2897629
Native;100000;4;2500;2;2544526
KMP;100000;4;2500;2;2106350
KMP_O;100000;4;2500;2;2279054
Native;100000;4;2500;3;2548053
KMP;100000;4;2500;3;2119508
KMP_O;100000;4;2500;3;2292797
Native;100000;4;2500;4;2557051
KMP;100000;4;2500;4;2117932
KMP_O;100000;4;2500;4;2335809
Native;10000;2;2600;0;219349
KMP;10000;2;2600;0;250950
KMP_O;10000;2;2600;0;295602
Native;10000;2;2600;1;216768
KMP;10000;2;2600;1;250394
KMP_O;10000;2;2600;1;295369
Native;10000;2;2600;2;217118
KMP;10000;2;2600;2;249289
KMP_O;10000;2;2600;2;295949
Native;10000;2;2600;3;216775
KMP;10000;2;2600;3;249529
KMP_O;10000;2;2600;3;295625
Native;10000;2;2600;4;216808
KMP;10000;2;2600;4;326642
KMP_O;10000;2;2600;4;348481
Native;10000;4;2600;0;218451
KMP;10000;4;2600;0;245992
KMP_O;10000;4;2600;0;307581
Native;10000;4;2600;1;218474
KMP;10000;4;2600;1;246218
KMP_O;10000;4;2600;1;299265
Native;10000;4;2600;2;217773
KMP;10000;4;2600;2;245326
KMP_O;10000;4;2600;2;301766
Native;10000;4;2600;3;218028
KMP;10000;4;2600;3;245349
KMP_O;10000;4;2600;3;298934
Native;10000;4;2600;4;215066
KMP;10000;4;2600;4;244071
KMP_O;10000;4;2600;4;326023
Native;100000;2;2600;0;2576012
KMP;100000;2;2600;0;2180710
KMP_O;100000;2;2600;0;2189836
Native;100000;2;2600;1;2600845
KMP;100000;2;2600;1;2108101
KMP_O;100000;2;2600;1;2316732
Native;100000;2;2600;2;2620398
KMP;100000;2;2600;2;2169101
KMP_O;100000;2;2600;2;2376581
Native;100000;2;2600;3;2600102
KMP;100000;2;2600;3;2114882
KMP_O;100000;2;2600;3;2200676
Native;100000;2;2600;4;2614710
KMP;100000;2;2600;4;2164427
KMP_O;100000;2;2600;4;2482311
Native;100000;4;2600;0;2669051
KMP;100000;4;2600;0;2060850
KMP_O;100000;4;2600;0;2290824
Native;100000;4;2600;1;2570425
KMP;100000;4;2600;1;2122416
KMP_O;100000;4;2600;1;2411432
Native;100000;4;2600;2;2588572
KMP;100000;4;2600;2;2063190
KMP_O;100000;4;2600;2;2201741
Native;100000;4;2600;3;2615335
KMP;100000;4;2600;3;2094924
KMP_O;100000;4;2600;3;2372945
Native;100000;4;2600;4;2559106
KMP;100000;4;2600;4;2145482
KMP_O;100000;4;2600;4;2344102
Native;10000;2;2700;0;219548
KMP;10000;2;2700;0;254565
KMP_O;10000;2;2700;0;308913
Native;10000;2;2700;1;219281
KMP;10000;2;2700;1;265074
KMP_O;10000;2;2700;1;300875
Native;10000;2;2700;2;218327
KMP;10000;2;2700;2;255808
KMP_O;10000;2;2700;2;301039
Native;10000;2;2700;3;216640
KMP;10000;2;2700;3;250530
KMP_O;10000;2;2700;3;298155
Native;10000;2;2700;4;213421
KMP;10000;2;2700;4;246236
KMP_O;10000;2;2700;4;296360
Native;10000;4;2700;0;213983
KMP;10000;4;2700;0;243236
KMP_O;10000;4;2700;0;309355
Native;10000;4;2700;1;213998
KMP;10000;4;2700;1;242995
KMP_O;10000;4;2700;1;309023
Native;10000;4;2700;2;214174
KMP;10000;4;2700;2;245589
KMP_O;10000;4;2700;2;313773
Native;10000;4;2700;3;213041
KMP;10000;4;2700;3;241783
KMP_O;10000;4;2700;3;330994
Native;10000;4;2700;4;213737
KMP;10000;4;2700;4;243415
KMP_O;10000;4;2700;4;308374
Native;100000;2;2700;0;2605036
KMP;100000;2;2700;0;2085300
